participant_ID,group,scenario,condition,dialekt,generated_url
T15,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T15&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
T15,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T15&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
T16,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T16&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
T16,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T16&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
T16,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T16&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
T17,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T17&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
T17,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T17&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
T17,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T17&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
T18,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T18&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
T18,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T18&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
T18,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T18&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
